envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
414	4878000	4758000	5118000	5118000	4878000	4518000	
415	4899000	4755000	5115000	5115000	4995000	4515000	
416	4920000	4872000	5112000	5112000	4992000	4512000	
417	4941000	4869000	5109000	5109000	5109000	4509000	
418	4962000	4866000	5106000	5106000	5226000	4506000	
419	4959000	4863000	5103000	5103000	5223000	4503000	
420	4980000	4980000	5100000	5100000	5220000	4500000	
421	4977000	4977000	5097000	5097000	5217000	4497000	
422	4974000	4974000	5094000	5094000	5214000	4494000	
423	4971000	4971000	5091000	5091000	5211000	4491000	
424	4968000	4968000	5088000	5088000	5208000	4488000	
425	4965000	4965000	5085000	5085000	5205000	4485000	
426	4986000	5082000	5082000	5082000	5202000	4482000	
427	4983000	5079000	5079000	5079000	5199000	4479000	
428	5028000	5076000	5076000	5196000	5316000	4476000	
429	5025000	5073000	5073000	5193000	5313000	4473000	
430	5046000	5190000	5070000	5190000	5310000	4470000	
431	5043000	5187000	5067000	5187000	5307000	4467000	
432	5040000	5184000	5064000	5184000	5304000	4464000	
433	5037000	5181000	5061000	5181000	5301000	4461000	
434	5106000	5298000	5178000	5178000	5298000	4578000	
435	5127000	5295000	5175000	5175000	5415000	4575000	
436	5124000	5292000	5172000	5172000	5412000	4572000	
437	5145000	5409000	5169000	5169000	5409000	4569000	
438	5166000	5406000	5166000	5166000	5406000	4686000	
439	5163000	5403000	5163000	5163000	5403000	4683000	
440	5184000	5400000	5160000	5160000	5400000	4800000	
441	5205000	5517000	5157000	5157000	5397000	4797000	
442	5202000	5514000	5154000	5154000	5394000	4794000	
443	5199000	5511000	5151000	5151000	5391000	4791000	
444	5244000	5508000	5268000	5268000	5388000	4788000	
445	5241000	5505000	5265000	5265000	5385000	4785000	
446	5238000	5502000	5262000	5262000	5382000	4782000	
447	5283000	5619000	5259000	5379000	5379000	4779000	
448	5280000	5616000	5256000	5376000	5376000	4776000	
449	5277000	5613000	5253000	5373000	5373000	4773000	
450	5298000	5610000	5370000	5370000	5370000	4770000	
451	5295000	5607000	5367000	5367000	5367000	4767000	
452	5292000	5604000	5364000	5364000	5364000	4764000	
453	5289000	5601000	5361000	5361000	5361000	4761000	
454	5334000	5718000	5358000	5358000	5478000	4758000	
