envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
495	6195000	6435000	6195000	5955000	6075000	6315000	
496	6216000	6432000	6192000	5952000	6192000	6312000	
497	6261000	6429000	6189000	6069000	6189000	6429000	
498	6258000	6426000	6186000	6066000	6186000	6426000	
499	6279000	6423000	6183000	6063000	6303000	6423000	
500	6276000	6420000	6180000	6060000	6300000	6420000	
501	6297000	6417000	6177000	6057000	6417000	6417000	
502	6294000	6414000	6174000	6054000	6414000	6414000	
503	6291000	6411000	6171000	6051000	6411000	6411000	
504	6288000	6408000	6168000	6048000	6408000	6408000	
505	6309000	6405000	6165000	6045000	6525000	6405000	
506	6306000	6402000	6162000	6042000	6522000	6402000	
507	6303000	6399000	6159000	6039000	6519000	6399000	
508	6300000	6396000	6156000	6036000	6516000	6396000	
509	6297000	6393000	6153000	6033000	6513000	6393000	
510	6294000	6390000	6150000	6030000	6510000	6390000	
511	6291000	6387000	6147000	6027000	6507000	6387000	
512	6336000	6504000	6264000	6024000	6504000	6384000	
513	6357000	6501000	6261000	6141000	6501000	6381000	
514	6402000	6498000	6378000	6138000	6618000	6378000	
515	6423000	6615000	6375000	6135000	6615000	6375000	
516	6420000	6612000	6372000	6132000	6612000	6372000	
517	6417000	6609000	6369000	6129000	6609000	6369000	
518	6414000	6606000	6366000	6126000	6606000	6366000	
519	6435000	6603000	6363000	6123000	6603000	6483000	
520	6456000	6600000	6360000	6240000	6600000	6480000	
521	6501000	6597000	6477000	6237000	6717000	6477000	
522	6522000	6594000	6474000	6354000	6714000	6474000	
523	6543000	6711000	6471000	6351000	6711000	6471000	
524	6540000	6708000	6468000	6348000	6708000	6468000	
525	6561000	6705000	6465000	6465000	6705000	6465000	
526	6558000	6702000	6462000	6462000	6702000	6462000	
527	6555000	6699000	6459000	6459000	6699000	6459000	
528	6576000	6696000	6456000	6576000	6696000	6456000	
529	6573000	6693000	6453000	6573000	6693000	6453000	
530	6570000	6690000	6450000	6570000	6690000	6450000	
531	6567000	6687000	6447000	6567000	6687000	6447000	
532	6588000	6684000	6444000	6684000	6684000	6444000	
533	6609000	6681000	6441000	6681000	6681000	6561000	
534	6606000	6678000	6438000	6678000	6678000	6558000	
535	6603000	6675000	6435000	6675000	6675000	6555000	
